Station,Jan,Feb,Mar,Apr,May,June,July,Aug,Sep,Oct,Nov,Dec,Year
Tangail-41909 ,10,15.5,20.1,21.8,23.3,25.9,26.5,26.9,26,22.8,17.9,13.3,20.83
Faridpur-41929 ,10.1,15.8,20.5,22.1,23.9,25.7,26.2,26.6,26,22.7,18.1,13.7,20.95
Madaripur-41939 ,10.3,15.9,20.7,22.3,23.9,25.7,26.2,26.5,26.4,22.6,18.1,12.9,20.96
Gopalgonj-41938 ,9.6,16.2,20.9,22.3,24.2,26.3,26.2,26.5,26.2,22.7,18,12.8,20.99
Nikli-41902 ,11.7,16.6,20.2,21.2,23,25.8,26.7,27.1,26.4,23.4,18.5,14.3,21.24
Mymensingh-41886 ,11.7,16.6,20.2,21.5,23.2,25.8,26.7,26.9,26,22.7,17.4,13.5,21.02
Netrokona-41888 ,10.8,16,20,21.2,22.8,25.9,26.8,26.7,26,22.6,17.5,13.7,20.83
Chattogram-41978 ,11.4,15.9,19.7,24.1,24.4,25.7,26.5,26,26,23.6,19.7,16.2,21.6
Sandwip-41964 ,14.1,18,21.9,23.1,23.7,25.7,25.9,26,26,23.4,18.7,14.4,21.74
Sitakunda-41965 ,12.6,17.2,21.2,23,23.8,25.7,25.7,25.8,25.5,22.4,17.1,13.5,21.13
Rangamati-41966 ,11.1,15.4,20.3,22.2,22.6,25.6,25.8,24.9,24.6,22.2,17.4,14.3,20.53
Cumilla-41933 ,12.5,15.5,20,21.9,23.6,24.6,25,26.2,26.1,22.9,17.8,13.3,20.78
Chandpur-41941 ,12.4,17.3,21.1,22.9,24.1,25.7,26.4,26.6,26.8,23.7,19.8,16.2,21.92
M Court-41953 ,12.7,17.8,21.9,22.7,24,26.1,26.5,26.3,26.5,23.7,19.6,15.4,21.93
Feni-41943 ,13.3,18,21.8,22.3,23.5,25.9,26.5,25.6,25.6,22.9,17.9,13.7,21.42
Hatiya-41963 ,12,17.4,21.2,23.1,24.2,25.2,25.7,26,26,23.3,18.9,15,21.5
Cox’s Bazar-41992 ,12.4,17.2,21.4,24.5,25,26,26,25.7,25.4,23.5,20,17.3,22.03
Kutubdia-41989 ,15.1,18.4,22,24.2,24.9,25.4,25.5,26,25.9,23.4,19.3,16,22.18
Teknaf-41998 ,14.5,17.9,21.6,24.2,25.5,25.9,26,25.5,25.2,23.6,19,16.6,22.13
Sylhet-41891 ,13.6,17.1,21,21.1,22.6,25.8,25.5,25.7,25.4,22.4,18.3,15.2,21.14
Srimangal-41915 ,13.5,16.2,19.6,20.7,22.1,25,25.9,25.4,25.1,21.2,15.3,11.9,20.16
Rajshahi-41895 ,10.7,14.2,18,22.2,24,24.9,25.9,27,26.1,21.7,16.7,11.6,20.25
Ishurdi-41907 ,8.5,14.2,19.1,21.9,24.1,26.2,26.7,27.1,26.2,22,17,12.2,20.43
Bogura-41883 ,8.7,14.3,18.9,22.4,23.7,26.5,26.7,27.3,26.7,23.2,18.7,13.8,20.91
Badalgachi-41881 ,10,15.5,20.4,21.7,23.4,26.5,27.1,26.7,26,21.5,16.1,11.6,20.54
Tarash-41897 ,8.9,15.2,19.1,21.6,23.5,26.3,26.5,27.3,26.7,22.8,18,13.6,20.79
Rangpur-41859 ,10.4,16.3,19.6,21.5,23,26.4,26.7,27,26,22.3,17.3,12.6,20.76
Dinajpur-41863 ,9.4,14.1,19,21.7,23.1,25.8,27.1,26.9,26.1,21.5,15.7,11.3,20.14
